	original_idx	pairID	ancestor	descendant	TREEDIST_anc-to-root	TREEDIST_desc-to-root	TREEDIST_stem-to-Root	TREEDIST_anc-to-desc	perc_seq_id	pfam	pfam_Nseqs	type	clan	anc_seq_len	desc_seq_len	alignment_len	num_matches	num_ins	num_del
539	211806	FW_PT4_PID013613	Q9I5E6_PSEAE/18-271	S6AUU2_PSERE/18-271	0.4052299999999998	0.4833699999999998	0.3633999999999999	0.1618	0.8464566929133859	PF03972	184	Domain	CL0722	254	254	254	254	0	0
540	211807	FW_PT4_PID013614	M1FK70_9GAMM/18-271	Q0VPM1_ALCBS/24-277	0.3296999999999999	0.4104799999999999	0.2833199999999999	0.17354	0.8385826771653543	PF03972	184	Domain	CL0722	254	254	254	254	0	0
541	211808	FW_PT4_PID013615	D5CR40_SIDLE/18-271	Q5QZ23_IDILO/18-271	0.25097	0.33248	0.16033	0.2627899999999999	0.7795275590551181	PF03972	184	Domain	CL0722	254	254	254	254	0	0
542	211809	FW_PT4_PID013616	Q6LKM8_PHOPR/18-271	H2FUP2_OCESG/18-271	0.23487	0.34952	0.17683	0.23073	0.7952755905511811	PF03972	184	Domain	CL0722	254	254	254	254	0	0
543	211810	FW_PT4_PID013617	Q39WL3_GEOMG/18-271	A5GDQ6_GEOUR/18-271	0.201	0.23882	0.05298	0.33386	0.7401574803149606	PF03972	184	Domain	CL0722	254	254	254	254	0	0
544	211811	FW_PT4_PID013618	E3KG66_PUCGT/84-338	G7DWS4_MIXOS/81-335	0.34143	0.39253	0.24451	0.24494	0.7764705882352941	PF03972	184	Domain	CL0722	255	255	256	254	1	1
545	211812	FW_PT4_PID013619	A8PY58_MALGO/49-302	V5GMA5_KALBG/82-335	0.38767	0.32806	0.26893	0.17787	0.8307086614173228	PF03972	184	Domain	CL0722	254	254	254	254	0	0
546	211813	FW_PT4_PID013620	B8MKZ4_TALSN/12-254	A1C726_ASPCL/634-892	1.19548	0.90996	0.7531800000000001	0.5990800000000001	0.588477366255144	PF03972	184	Domain	CL0722	243	259	262	240	19	3
547	211814	FW_PT4_PID013621	ORYR_ASPOR/19-276	Q2UFD1_ASPOR/10-265	0.8520099999999999	0.92697	0.49923	0.78052	0.53125	PF03972	184	Domain	CL0722	258	256	259	255	1	3
548	211815	FW_PT4_PID013622	D5BZ78_NITHN/5-248	U4KGG1_9VIBR/5-247	2.4674400000000003	2.5298700000000003	2.2444	0.50851	0.6337448559670782	PF03972	184	Domain	CL0722	244	243	244	243	0	1
549	211816	FW_PT4_PID013623	Q8NMN3_CORGL/5-247	X5DLJ9_9CORY/5-246	2.37499	2.41952	2.32057	0.15337	0.859504132231405	PF03972	184	Domain	CL0722	243	242	243	242	0	1
550	211817	FW_PT4_PID013624	L0IH84_HALRX/5-248	D2RT05_HALTV/4-248	2.47939	2.35472	2.30864	0.21683	0.8032786885245902	PF03972	184	Domain	CL0722	244	245	246	243	2	1
551	211818	FW_PT4_PID013625	R4W9L2_9EURY/5-246	E4NV94_HALBP/5-248	2.27144	2.39005	2.07333	0.51483	0.6363636363636364	PF03972	184	Domain	CL0722	242	244	244	242	2	0
552	211819	FW_PT4_PID013626	A6X1T3_BRUA4/5-248	B9K3Y0_AGRVS/5-248	3.79875	3.90431	3.6052	0.49266	0.6352459016393442	PF03972	184	Domain	CL0722	244	244	244	244	0	0
553	211820	FW_PT4_PID013627	A1SCQ5_NOCSJ/10-256	F2I2A9_PELSM/5-252	3.53928	4.02536	2.94823	1.66818	0.2995951417004048	PF03972	184	Domain	CL0722	247	248	249	246	2	1
554	211821	FW_PT4_PID013628	A9BUU0_DELAS/5-247	Q1LC99_CUPMC/4-248	3.78025	3.89076	3.4315	0.80801	0.5185185185185185	PF03972	184	Domain	CL0722	243	245	245	243	2	0
555	211822	FW_PT4_PID013629	F4LSL0_TEPAE/5-252	R5IPX7_9CLOT/7-253	3.81335	3.77072	3.45639	0.6712899999999999	0.5546558704453441	PF03972	184	Domain	CL0722	248	247	249	246	1	2
556	211823	FW_PT4_PID013630	F5Y671_RAMTT/4-248	A1WS87_VEREI/28-272	3.853169999999999	3.875939999999999	3.7218899999999993	0.28533	0.7591836734693878	PF03972	184	Domain	CL0722	245	245	245	245	0	0
557	211824	FW_PT4_PID013631	Q7VXY2_BORPE/13-257	H5WUP6_9BURK/8-252	3.725419999999999	3.808979999999999	3.601169999999999	0.33206	0.7346938775510204	PF03972	184	Domain	CL0722	245	245	245	245	0	0
558	211825	FW_PT4_PID013632	K0CCY0_ALCDB/6-250	A4VK75_PSEU5/6-250	3.8397099999999993	3.7479999999999993	3.657679999999999	0.27235	0.7714285714285715	PF03972	184	Domain	CL0722	245	245	245	245	0	0
559	211826	FW_PT4_PID013633	Q9I564_PSEAE/6-250	Q0K3E6_CUPNH/12-256	3.6532899999999993	3.758989999999999	3.467329999999999	0.4776199999999999	0.673469387755102	PF03972	184	Domain	CL0722	245	245	245	245	0	0
560	211827	FW_PT4_PID013634	Q0CKF6_ASPTN/9-255	B6HKD8_PENRW/12-258	3.985229999999999	3.99837	3.8664899999999993	0.25062	0.7732793522267206	PF03972	184	Domain	CL0722	247	247	249	245	2	2
561	211828	FW_PT4_PID013635	Q2U5C8_ASPOR/214-460	S7ZXX5_PENO1/17-263	3.8457499999999993	3.9292	3.7462399999999993	0.28247	0.7611336032388664	PF03972	184	Domain	CL0722	247	247	249	245	2	2
562	211829	FW_PT4_PID013636	D5WXT3_KYRT2/7-260	F2F235_SOLSS/5-247	3.48524	3.5498	3.16276	0.7095199999999999	0.551440329218107	PF03972	184	Domain	CL0722	254	243	254	243	0	11
